estimate_id,ref,source_document_url,source_document_kind,source_locator,source_locator_status,locator_match_basis,match_score,audited_on
ICI-9593cb18be-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,"Abstract, Results",verified,"endpoint,numerator/denominator,value,denominator",22,2026-07-31
ICI-3fbfdb14f2-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,"Abstract, Results",verified,"endpoint,numerator/denominator,value,denominator",22,2026-07-31
ICI-cf2834da47-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Results > Outcomes,verified,"endpoint,numerator/denominator,value,denominator,population:2",23,2026-07-31
ICI-3cd8dbda4b-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,"Abstract, Results",verified,"endpoint,numerator/denominator,value,denominator",22,2026-07-31
ICI-093ba1859e-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Figure 2,verified,"endpoint,value,denominator,ci,timepoint,population:2",22,2026-07-31
ICI-0d56b8bd7a-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Figure 2,verified,"endpoint,value,denominator,ci,timepoint,population:2",22,2026-07-31
ICI-741bacb100-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Figure 2,verified,"endpoint,value,denominator,ci,timepoint,population:2",22,2026-07-31
ICI-c9a6b61402-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Results > Outcomes,verified,"endpoint,value,denominator,ci,timepoint,population:2",22,2026-07-31
ICI-90a426d967-01,PMID:39067873,https://pmc.ncbi.nlm.nih.gov/articles/PMC11284838/,pmc_full_text,Figure 2,verified,"endpoint,value,denominator,ci,timepoint,population:2",22,2026-07-31
ICI-1b0fbb70fb-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-9bfcbfbb51-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
