estimate_id,ref,source_document_url,source_document_kind,source_locator,source_locator_status,locator_match_basis,match_score,audited_on
ICI-071eb5e3c9-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-ace3bf531f-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-7c006ed354-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value_status,timepoint",15,2026-07-31
ICI-94ff54ffd3-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci,timepoint",21,2026-07-31
ICI-be1bcca24f-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci,timepoint",21,2026-07-31
ICI-2d5cb04e92-01,DOI:10.1038/s41591-023-02518-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC11293616/,pmc_full_text,Results > Study treatment efficacy and toxicity,verified,"endpoint,value,population:3",14,2026-07-31
ICI-59bed8bbec-01,DOI:10.1038/s41591-023-02518-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC11293616/,pmc_full_text,Abstract,verified,"endpoint,value,denominator,ci,timepoint,population:3",24,2026-07-31
ICI-5c19d1d9a0-01,DOI:10.1038/s41591-023-02518-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC11293616/,pmc_full_text,Results > Study treatment efficacy and toxicity,verified,"endpoint,value,population:1",12,2026-07-31
ICI-9cbaa71858-01,DOI:10.1038/s41591-023-02518-x,https://pmc.ncbi.nlm.nih.gov/articles/PMC11293616/,pmc_full_text,Abstract,verified,"endpoint,value,denominator,ci,timepoint,population:5",24,2026-07-31
ICI-cf3b5df820-01,PMID:40166913,https://pmc.ncbi.nlm.nih.gov/articles/PMC11959299/,pmc_full_text,"Abstract, Results",verified,"endpoint,value,denominator",14,2026-07-31
ICI-b5cfd95674-01,PMID:40166913,https://pmc.ncbi.nlm.nih.gov/articles/PMC11959299/,pmc_full_text,"Abstract, Results",verified,"endpoint,numerator/denominator,value,denominator",22,2026-07-31
ICI-ceb9c89967-01,PMID:40166913,https://pmc.ncbi.nlm.nih.gov/articles/PMC11959299/,pmc_full_text,"Abstract, Results",verified,"endpoint,value,denominator,timepoint",17,2026-07-31
ICI-6ec9bc0a01-01,PMID:40166913,https://pmc.ncbi.nlm.nih.gov/articles/PMC11959299/,pmc_full_text,"Abstract, Results",verified,"endpoint,denominator,timepoint",13,2026-07-31
ICI-c99b80b7ea-01,PMID:35777186,https://pubmed.ncbi.nlm.nih.gov/35777186/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-8624416b0e-01,PMID:28223062,https://pmc.ncbi.nlm.nih.gov/articles/PMC5809128/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-8cd76d5098-01,PMID:28223062,https://pmc.ncbi.nlm.nih.gov/articles/PMC5809128/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-943547eb15-01,PMID:28223062,https://pmc.ncbi.nlm.nih.gov/articles/PMC5809128/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-cfb30dbca5-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-024f42b18c-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,population:4",16,2026-07-31
ICI-6cea9b0699-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,population:4",16,2026-07-31
ICI-3cfe88d14b-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,timepoint,population:4",19,2026-07-31
ICI-6222fb6317-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,denominator,timepoint,population:4",15,2026-07-31
ICI-31b195fdd0-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,ci,timepoint,population:4",23,2026-07-31
ICI-12f399f520-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,ci,timepoint,population:4",23,2026-07-31
ICI-f98669fce1-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value,denominator,ci,timepoint,population:4",23,2026-07-31
ICI-f9b0039eaa-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,Results,verified,"endpoint,value_status,denominator,timepoint,population:4",19,2026-07-31
ICI-ccc536e5e5-01,PMID:35114169,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012850/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-deeb11dc2d-01,DOI:10.1200/JCO.2020.38.15_suppl.6513,https://doi.org/10.1200/JCO.2020.38.15_suppl.6513,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-cb72c7e2fd-01,DOI:10.1200/JCO.2020.38.15_suppl.6513,https://doi.org/10.1200/JCO.2020.38.15_suppl.6513,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-966148cfb1-01,DOI:10.1200/JCO.2020.38.15_suppl.6513,https://doi.org/10.1200/JCO.2020.38.15_suppl.6513,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-52dbc5d599-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-8b2190adfe-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",verified,"endpoint,value,denominator",14,2026-07-31
ICI-48975a9625-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",verified,"endpoint,value,denominator",14,2026-07-31
ICI-9394b751d8-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-6eab5da93b-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-d465ee2e25-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-895dd9d929-01,PMID:34000246,https://pubmed.ncbi.nlm.nih.gov/34000246/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-19956d182d-01,DOI:10.1016/j.annonc.2023.10.123,https://doi.org/10.1016/j.annonc.2023.10.123,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-4398a82d1e-01,DOI:10.1016/j.annonc.2023.10.123,https://doi.org/10.1016/j.annonc.2023.10.123,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-143d70f5e9-01,DOI:10.1016/j.annonc.2023.10.123,https://doi.org/10.1016/j.annonc.2023.10.123,doi_record,,citation_only,source citation verified; no public text block was available,0,2026-07-31
ICI-cb7e1bb636-01,DOI:10.1016/j.annonc.2023.10.123,https://doi.org/10.1016/j.annonc.2023.10.123,doi_record,,not_verified,no source block matched the endpoint and row-specific evidence,0,2026-07-31
ICI-ed94d6f902-01,DOI:10.1016/j.annonc.2023.10.123,https://doi.org/10.1016/j.annonc.2023.10.123,doi_record,,not_verified,no source block matched the endpoint and row-specific evidence,0,2026-07-31
ICI-5b1e201a99-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value",12,2026-07-31
ICI-278a4de643-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-ef83e86663-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value",12,2026-07-31
ICI-5a7d2cb428-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,timepoint",15,2026-07-31
ICI-06eac5a1cb-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci,timepoint",19,2026-07-31
ICI-acb3b19314-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value",12,2026-07-31
ICI-2e11cec466-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,timepoint",15,2026-07-31
ICI-def378bec0-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value",12,2026-07-31
ICI-9ef67e9b93-01,PMID:32552471,https://pubmed.ncbi.nlm.nih.gov/32552471/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci,timepoint",19,2026-07-31
ICI-22d7ca6935-01,PMID:28131785,https://pubmed.ncbi.nlm.nih.gov/28131785/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-1c4c4cfa84-01,PMID:28131785,https://pubmed.ncbi.nlm.nih.gov/28131785/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-bde6ff938a-01,PMID:28131785,https://pubmed.ncbi.nlm.nih.gov/28131785/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-c4d53723ca-01,PMID:28131785,https://pubmed.ncbi.nlm.nih.gov/28131785/,pubmed_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-79dcf4f7b4-01,PMID:28131785,https://pubmed.ncbi.nlm.nih.gov/28131785/,pubmed_abstract,"Abstract, Findings",verified,"endpoint,denominator,timepoint",13,2026-07-31
ICI-9177ece704-01,PMID:27939400,https://pmc.ncbi.nlm.nih.gov/articles/PMC5568632/,pmc_full_text,"Abstract, Findings",verified,"endpoint,value,denominator,ci,population:1",19,2026-07-31
ICI-ecf5c23723-01,PMID:27939400,https://pmc.ncbi.nlm.nih.gov/articles/PMC5568632/,pmc_full_text,"Abstract, Findings",verified,"endpoint,value,denominator,population:1",15,2026-07-31
ICI-2fcd0d8682-01,PMID:27939400,https://pmc.ncbi.nlm.nih.gov/articles/PMC5568632/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-3532954092-01,PMID:27939400,https://pmc.ncbi.nlm.nih.gov/articles/PMC5568632/,pmc_full_text,"Abstract, Findings",verified,"endpoint,denominator,timepoint,population:1",14,2026-07-31
ICI-e1c1959728-01,PMID:27939400,https://pmc.ncbi.nlm.nih.gov/articles/PMC5568632/,pmc_full_text,"Abstract, Findings",verified,"endpoint,denominator,timepoint,population:1",14,2026-07-31
ICI-e52143e1a0-01,PMID:26952546,https://pmc.ncbi.nlm.nih.gov/articles/PMC5480242/,pmc_full_text,Results,verified,"endpoint,value,ci",15,2026-07-31
ICI-2d8a335e01-01,PMID:28817753,https://pmc.ncbi.nlm.nih.gov/articles/PMC5824288/,pmc_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-9e11d8b7bd-01,PMID:29217288,https://pmc.ncbi.nlm.nih.gov/articles/PMC7984727/,pmc_full_text,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-02e900249c-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-00a12fc413-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-56d7f8d4cf-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-b2835651b5-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value_status,denominator,timepoint",17,2026-07-31
ICI-0f0e089271-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,denominator,timepoint",13,2026-07-31
ICI-a5299960c5-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,timepoint",17,2026-07-31
ICI-e229a8f185-01,PMID:30475950,https://pubmed.ncbi.nlm.nih.gov/30475950/,pubmed_abstract,"Abstract, Results",verified,"endpoint,denominator,ci,timepoint",17,2026-07-31
ICI-d6cf87e9e5-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci",18,2026-07-31
ICI-9fc9ca17f2-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-3a751ea034-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator",14,2026-07-31
ICI-b8438e7460-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,timepoint",17,2026-07-31
ICI-ba47635e7b-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci,timepoint",21,2026-07-31
ICI-2a0f370265-01,PMID:30475947,https://pubmed.ncbi.nlm.nih.gov/30475947/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,timepoint",17,2026-07-31
ICI-3792c43928-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-54fd4a7840-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Results",verified,"endpoint,value,timepoint,population:1",16,2026-07-31
ICI-7353d7284b-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-1bc1f2c450-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Results",verified,"endpoint,value,timepoint,population:1",16,2026-07-31
ICI-6bbe217c59-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-dd8d58275c-01,PMID:30242306,https://pmc.ncbi.nlm.nih.gov/articles/PMC6439773/,pmc_abstract,"Abstract, Findings",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-c5947bad6b-01,PMID:30943124,https://pubmed.ncbi.nlm.nih.gov/30943124/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci",16,2026-07-31
ICI-ac4b7c47c2-01,PMID:30943124,https://pubmed.ncbi.nlm.nih.gov/30943124/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci",16,2026-07-31
ICI-ddd8d6f347-01,PMID:30943124,https://pubmed.ncbi.nlm.nih.gov/30943124/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-2e11ae750c-01,PMID:30943124,https://pubmed.ncbi.nlm.nih.gov/30943124/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-c596c96a12-01,PMID:30943124,https://pubmed.ncbi.nlm.nih.gov/30943124/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value_status,timepoint",15,2026-07-31
ICI-e2686c8669-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci,population:1",17,2026-07-31
ICI-e1b1f63c42-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci,timepoint,population:1",20,2026-07-31
ICI-98dca50d7c-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,ci,timepoint,population:1",20,2026-07-31
ICI-13c6b42ce9-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-489d075019-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci,timepoint,population:2",23,2026-07-31
ICI-6ea87b002f-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,ci,timepoint,population:2",23,2026-07-31
ICI-2814c8c5da-01,PMID:38858106,https://pubmed.ncbi.nlm.nih.gov/38858106/,pubmed_abstract,,not_verified,no source block matched the endpoint and row-specific evidence,0,2026-07-31
ICI-06e6f755ae-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,numerator/denominator,value,denominator,ci,population:2",28,2026-07-31
ICI-ffb31451ac-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,value_status,denominator,timepoint,population:2",19,2026-07-31
ICI-95f2890cf3-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,value,denominator,ci,timepoint,population:2",23,2026-07-31
ICI-6ea6de466b-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,value,denominator,ci,timepoint,population:2",23,2026-07-31
ICI-1545ffe3c3-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,numerator/denominator,value,denominator,population:2",24,2026-07-31
ICI-78b32558b8-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,numerator/denominator,value,denominator,population:2",24,2026-07-31
ICI-d1d318d5fd-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,verified,"endpoint,numerator/denominator,value,ci,population:2",26,2026-07-31
ICI-bafeb33323-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,located_unverified,"endpoint,value_status,timepoint,population:2",17,2026-07-31
ICI-784ad2abd2-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,located_unverified,"endpoint,value,ci,timepoint,population:2",21,2026-07-31
ICI-45d73edf58-01,PMID:32359091,https://pubmed.ncbi.nlm.nih.gov/32359091/,pubmed_abstract,Abstract,located_unverified,"endpoint,value,ci,timepoint,population:2",21,2026-07-31
ICI-a9bc719db3-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab monotherapy,verified,"endpoint,numerator/denominator,value,denominator",21,2026-07-31
ICI-1a2bac306d-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-8892fb2c2f-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab monotherapy,verified,"endpoint,value,denominator,timepoint",16,2026-07-31
ICI-01b8ec043a-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab monotherapy,verified,"endpoint,value,denominator,ci,timepoint",20,2026-07-31
ICI-29df11bed9-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab monotherapy,verified,"endpoint,value,denominator,ci,timepoint",20,2026-07-31
ICI-8c1c82b596-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab plus tremelimumab,verified,"endpoint,numerator/denominator,value,denominator",21,2026-07-31
ICI-37635ad717-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-d6adf64029-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab plus tremelimumab,verified,"endpoint,value,denominator,timepoint",16,2026-07-31
ICI-7fa8a24816-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab plus tremelimumab,verified,"endpoint,value,denominator,ci,timepoint",20,2026-07-31
ICI-c340520250-01,PMID:35611499,https://pmc.ncbi.nlm.nih.gov/articles/PMC9249982/,pmc_full_text,RESULTS > Efficacy > Durvalumab plus tremelimumab,verified,"endpoint,value,denominator,ci,timepoint",20,2026-07-31
ICI-4f6402b639-01,DOI:10.1182/blood-2017-02-765685,https://pmc.ncbi.nlm.nih.gov/articles/PMC5492091/,pmc_abstract,Abstract,source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-c319898ee7-01,DOI:10.1182/blood-2017-02-765685,https://pmc.ncbi.nlm.nih.gov/articles/PMC5492091/,pmc_abstract,Abstract,source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-7c9277b87c-01,DOI:10.1182/blood-2017-02-765685,https://pmc.ncbi.nlm.nih.gov/articles/PMC5492091/,pmc_abstract,Abstract,verified,"endpoint,value,timepoint,population:2",17,2026-07-31
ICI-dfd5824394-01,,,missing_citation,,not_applicable,curator-derived value,0,2026-07-31
ICI-9099787bfc-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,Table 2,verified,curated estimate note names the exact source table or figure,0,2026-07-31
ICI-fac1883214-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,Table 2,verified,curated estimate note names the exact source table or figure,0,2026-07-31
ICI-013ea9c9ea-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,timepoint,population:1",16,2026-07-31
ICI-f0a7b7fce0-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,Table 2,verified,curated estimate note names the exact source table or figure,0,2026-07-31
ICI-c51444aea4-01,PMID:39631622,https://pubmed.ncbi.nlm.nih.gov/39631622/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-a9c559498c-01,PMID:39631622,https://pubmed.ncbi.nlm.nih.gov/39631622/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,timepoint,population:2",19,2026-07-31
ICI-e5de24a94f-01,PMID:39631622,https://pubmed.ncbi.nlm.nih.gov/39631622/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,denominator,timepoint,population:2",19,2026-07-31
ICI-072ab82577-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,"Abstract, Results",source_section,source citation verified; only a coarse public source section was available,0,2026-07-31
ICI-50aacfc02d-01,PMID:33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,pubmed_abstract,"Abstract, Results",verified,"endpoint,value,timepoint,population:1",16,2026-07-31
ICI-2fc5165568-01,PMID:26028255,https://pmc.ncbi.nlm.nih.gov/articles/PMC4481136/,pmc_full_text,RESULTS > PRIMARY END POINT,verified,"endpoint,numerator/denominator,value,denominator,ci,population:2",27,2026-07-31
