cancer_code,fusion_family,gene_5prime,gene_3prime,pmid,pubmed_title,publication_year,supports_fusion_or_alteration,supports_disease_context,reviewed_on
SARC_MYXLPS,FUS-DDIT3,FUS,DDIT3,PMID:16651630,The myxoid/round cell liposarcoma fusion oncogene FUS-DDIT3 and the normal DDIT3 induce a liposarcoma phenotype in transfected human fibrosarcoma cells.,2006,true,true,2026-07-17
SARC_MYXLPS,EWSR1-DDIT3,EWSR1,DDIT3,PMID:17647282,Relevance of translocation type in myxoid liposarcoma and identification of a novel EWSR1-DDIT3 fusion.,2007,true,true,2026-07-17
SARC_PEC,SFPQ-TFE3,SFPQ,TFE3,PMID:40239600,SFPQ::TFE3-rearranged PEComa: Differences and analogies with renal cell carcinoma carrying the same translocation.,2025,true,true,2026-07-17
SARC_PEC,DVL2-TFE3,DVL2,TFE3,PMID:25651471,Dichotomy of Genetic Abnormalities in PEComas With Therapeutic Implications.,2015,true,true,2026-07-17
SARC_RMS_ARMS,PAX3-FOXO1,PAX3,FOXO1,PMID:8275086,Fusion of a fork head domain gene to PAX3 in the solid tumour alveolar rhabdomyosarcoma.,1993,true,true,2026-07-17
SARC_RMS_ARMS,PAX7-FOXO1,PAX7,FOXO1,PMID:8187070,Fusion of PAX7 to FKHR by the variant t(1;13)(p36;q14) translocation in alveolar rhabdomyosarcoma.,1994,true,true,2026-07-17
SARC_RMS_SSRMS,VGLL2-NCOA2,VGLL2,NCOA2,PMID:26501226,A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.,2016,true,true,2026-07-17
SARC_RMS_SSRMS,TEAD1-NCOA2,TEAD1,NCOA2,PMID:26501226,A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.,2016,true,true,2026-07-17
SARC_CHON_MESENCHYMAL,HEY1-NCOA2,HEY1,NCOA2,PMID:22034177,"Identification of a novel, recurrent HEY1-NCOA2 fusion in mesenchymal chondrosarcoma based on a genome-wide screen of exon-level expression data.",2012,true,true,2026-07-17
SARC_CHON_MESENCHYMAL,IRF2BP2-CDX1,IRF2BP2,CDX1,PMID:23185413,Whole-transcriptome sequencing identifies novel IRF2BP2-CDX1 fusion gene brought about by translocation t(1;5)(q42;q32) in mesenchymal chondrosarcoma.,2012,true,true,2026-07-17
SARC_ESS_LG,JAZF1-SUZ12,JAZF1,SUZ12,PMID:16049311,JAZF1/JJAZ1 gene fusion in endometrial stromal sarcomas: molecular analysis by reverse transcriptase-polymerase chain reaction optimized for paraffin-embedded tissue.,2005,true,true,2026-07-17
SARC_ESS_LG,JAZF1-PHF1,JAZF1,PHF1,PMID:16397222,Consistent rearrangement of chromosomal band 6p21 with generation of fusion genes JAZF1/PHF1 and EPC1/PHF1 in endometrial stromal sarcoma.,2006,true,true,2026-07-17
SARC_ESS_LG,EPC1-PHF1,EPC1,PHF1,PMID:16397222,Consistent rearrangement of chromosomal band 6p21 with generation of fusion genes JAZF1/PHF1 and EPC1/PHF1 in endometrial stromal sarcoma.,2006,true,true,2026-07-17
SARC_ESS_HG,YWHAE-NUTM2A,YWHAE,NUTM2A,PMID:22456610,The clinicopathologic features of YWHAE-FAM22 endometrial stromal sarcomas: a histologically high-grade and clinically aggressive tumor.,2012,true,true,2026-07-17
SARC_ESS_HG,YWHAE-NUTM2B,YWHAE,NUTM2B,PMID:22456610,The clinicopathologic features of YWHAE-FAM22 endometrial stromal sarcomas: a histologically high-grade and clinically aggressive tumor.,2012,true,true,2026-07-17
SARC_ESS_HG,ZC3H7B-BCOR,ZC3H7B,BCOR,PMID:23580382,Fusion of the ZC3H7B and BCOR genes in endometrial stromal sarcomas carrying an X;22-translocation.,2013,true,true,2026-07-17
LAML,RUNX1-RUNX1T1,RUNX1,RUNX1T1,PMID:31935293,An update on the molecular pathogenesis and potential therapeutic targeting of AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1.,2020,true,true,2026-07-17
LAML,CBFB-MYH11,CBFB,MYH11,PMID:8142642,Detection of fusion transcripts generated by the inversion 16 chromosome in acute myelogenous leukemia.,1994,true,true,2026-07-17
LAML,KMT2A-MLLT3,KMT2A,MLLT3,PMID:15188459,Cryptic insertion of MLL gene into 9p22 leads to MLL-MLLT3 (AF9) fusion in a case of acute myelogenous leukemia.,2004,true,true,2026-07-17
LAML,KMT2A-MLLT10,KMT2A,MLLT10,PMID:9305618,A novel MLL-AF10 fusion mRNA variant in a patient with acute myeloid leukemia detected by a new asymmetric reverse transcription PCR method.,1997,true,true,2026-07-17
LAML,KMT2A-ELL,KMT2A,ELL,PMID:26949571,Rare MLL-ELL fusion transcripts in childhood acute myeloid leukemia-association with young age and myeloid sarcomas?,2015,true,true,2026-07-17
LAML,KMT2A-MLLT1,KMT2A,MLLT1,PMID:16875930,"Establishment of a myeloid leukemia cell line, TRL-01, with MLL-ENL fusion gene.",2006,true,true,2026-07-17
LAML,DEK-NUP214,DEK,NUP214,PMID:32526729,Acute Myeloid Leukemia with t(6;9)(p23;q34.1); DEK-NUP214: The Pathogenesis and Potential.,2020,true,true,2026-07-17
LAML,NUP98-NSD1,NUP98,NSD1,PMID:11493482,"A novel gene, NSD1, is fused to NUP98 in the t(5;11)(q35;p15.5) in de novo childhood acute myeloid leukemia.",2001,true,true,2026-07-17
LAML,NUP98-KDM5A,NUP98,KDM5A,PMID:23531517,NUP98/JARID1A is a novel recurrent abnormality in pediatric acute megakaryoblastic leukemia with a distinct HOX gene expression pattern.,2013,true,true,2026-07-17
LAML,RBM15-MKL1,RBM15,MKL1,PMID:11746984,Recurrence of OTT-MAL fusion in t(1;22) of infant AML-M7.,2002,true,true,2026-07-17
LAML_APL,PML-RARA,PML,RARA,PMID:1652369,The PML-RAR alpha fusion mRNA generated by the t(15;17) translocation in acute promyelocytic leukemia encodes a functionally altered RAR.,1991,true,true,2026-07-17
LAML_APL,ZBTB16-RARA,ZBTB16,RARA,PMID:8302850,PLZF-RAR alpha fusion proteins generated from the variant t(11;17)(q23;q21) translocation in acute promyelocytic leukemia inhibit ligand-dependent transactivation of wild-type retinoic acid receptors.,1994,true,true,2026-07-17
LAML_APL,NPM1-RARA,NPM1,RARA,PMID:8562957,The t(5;17) variant of acute promyelocytic leukemia expresses a nucleophosmin-retinoic acid receptor fusion.,1996,true,true,2026-07-17
CML,BCR-ABL1,BCR,ABL1,PMID:40360311,BCR-ABL: The molecular mastermind behind chronic myeloid leukemia.,2025,true,true,2026-07-17
B_ALL,BCR-ABL1,BCR,ABL1,PMID:35834222,Treatment of Adults With Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia-From Intensive Chemotherapy Combinations to Chemotherapy-Free Regimens: A Review.,2022,true,true,2026-07-17
B_ALL,ETV6-RUNX1,ETV6,RUNX1,PMID:28418909,Pathogenesis of ETV6/RUNX1-positive childhood acute lymphoblastic leukemia and mechanisms underlying its relapse.,2017,true,true,2026-07-17
B_ALL,TCF3-PBX1,TCF3,PBX1,PMID:19713226,Clinical features and prognostic implications of TCF3-PBX1 and ETV6-RUNX1 in adult acute lymphoblastic leukemia.,2010,true,true,2026-07-17
B_ALL,KMT2A-AFF1,KMT2A,AFF1,PMID:26463423,Revisiting the biology of infant t(4;11)/MLL-AF4+ B-cell acute lymphoblastic leukemia.,2015,true,true,2026-07-17
B_ALL,DUX4-IGH,IGH,DUX4,PMID:27019113,Recurrent DUX4 fusions in B cell acute lymphoblastic leukemia of adolescents and young adults.,2016,true,true,2026-07-17
B_ALL,P2RY8-CRLF2,P2RY8,CRLF2,PMID:19838194,Rearrangement of CRLF2 in B-progenitor- and Down syndrome-associated acute lymphoblastic leukemia.,2009,true,true,2026-07-17
B_ALL,IGH-CRLF2,IGH,CRLF2,PMID:28033648,Characterisation of the genomic landscape of CRLF2-rearranged acute lymphoblastic leukemia.,2017,true,true,2026-07-17
T_ALL,STIL-TAL1,STIL,TAL1,PMID:8350619,SIL-TAL1 deletion in T-cell acute lymphoblastic leukemia.,1993,true,true,2026-07-17
T_ALL,TLX1-TRD,TRD,TLX1,PMID:7719228,Dysregulation of HOX11 by chromosome translocations in T-cell acute lymphoblastic leukemia: a paradigm for homeobox gene involvement in human cancer.,1995,true,true,2026-07-17
T_ALL,TLX3-BCL11B,BCL11B,TLX3,PMID:17308084,Activation of TLX3 and NKX2-5 in t(5;14)(q35;q32) T-cell acute lymphoblastic leukemia by remote 3'-BCL11B enhancers and coregulation by PU.1 and HMGA1.,2007,true,true,2026-07-17
T_ALL,NUP214-ABL1,NUP214,ABL1,PMID:15361874,Fusion of NUP214 to ABL1 on amplified episomes in T-cell acute lymphoblastic leukemia.,2004,true,true,2026-07-17
T_ALL,KMT2A-MLLT10,KMT2A,MLLT10,PMID:30203571,KMT2A (MLL) rearrangements observed in pediatric/young adult T-lymphoblastic leukemia/lymphoma: A 10-year review from a single cytogenetic laboratory.,2018,true,true,2026-07-17
MCL,CCND1-IGH,IGH,CCND1,PMID:40381701,Optical genome mapping reveals diverse mechanisms of cyclin activation in mantle cell lymphomas lacking IGH::CCND1.,2025,true,true,2026-07-17
FL,BCL2-IGH,IGH,BCL2,PMID:18684042,Practical detection of t(14;18)(IgH/BCL2) in follicular lymphoma.,2008,true,true,2026-07-17
BL,MYC-IGH,IGH,MYC,PMID:23673335,Erroneous class switching and false VDJ recombination: molecular dissection of t(8;14)/MYC-IGH translocations in Burkitt-type lymphoblastic leukemia/B-cell lymphoma.,2013,true,true,2026-07-17
BL,MYC-IGK,IGK,MYC,PMID:11795942,Topological organization of the MYC/IGK locus in Burkitt's lymphoma cells assessed by nuclear halo preparations.,2002,true,true,2026-07-17
BL,MYC-IGL,IGL,MYC,PMID:16888615,Novel FISH probes designed to detect IGK-MYC and IGL-MYC rearrangements in B-cell lineage malignancy identify a new breakpoint cluster region designated BVR2.,2006,true,true,2026-07-17
DLBC,BCL6-IGH,IGH,BCL6,PMID:36575004,Biallelic BCL6 rearrangements by dual t(3;14)(q27;q32) and t(3;22)(q27;q11) translocations in diffuse large B-cell lymphoma.,2022,true,true,2026-07-17
DLBC,MYC-IGH,IGH,MYC,PMID:25229766,Diffuse large B-cell lymphomas of immunoblastic type are a major reservoir for MYC-IGH translocations.,2015,true,true,2026-07-17
DLBC,BCL2-IGH,IGH,BCL2,PMID:20660332,Expression of LMO2 is associated with t(14;18)/IGH-BCL2 fusion but not BCL6 translocations in diffuse large B-cell lymphoma.,2010,true,true,2026-07-17
MM,CCND1-IGH,IGH,CCND1,PMID:35982976,Exploring the current molecular landscape and management of multiple myeloma patients with the t(11;14) translocation.,2022,true,true,2026-07-17
