Symbol,Ensembl_Gene_ID,hpa_tissue_count,min_tpm,mean_tpm,cv,max_tpm,clean_tpm_component,primary_panel,selection_note
SUMO2,ENSG00000188612,50,118.0,183.1,0.209,295.9,biological,true,primary_clean_tpm_biological_denominator
ARF1,ENSG00000143761,50,105.9,251.5,0.236,489.8,biological,true,primary_clean_tpm_biological_denominator
HNRNPC,ENSG00000092199,50,188.3,295.4,0.268,543.4,biological,true,primary_clean_tpm_biological_denominator
HNRNPDL,ENSG00000152795,50,108.2,219.2,0.269,399.6,biological,true,primary_clean_tpm_biological_denominator
RHOA,ENSG00000067560,50,108.9,289.1,0.276,463.0,biological,true,primary_clean_tpm_biological_denominator
EIF4G2,ENSG00000110321,50,154.2,275.0,0.277,479.0,biological,true,primary_clean_tpm_biological_denominator
NCL,ENSG00000115053,50,112.7,190.2,0.283,338.5,biological,true,primary_clean_tpm_biological_denominator
PFDN5,ENSG00000123349,50,231.1,619.1,0.298,1091.2,biological,true,primary_clean_tpm_biological_denominator
HNRNPK,ENSG00000165119,50,179.2,280.4,0.301,640.1,biological,true,primary_clean_tpm_biological_denominator
MORF4L1,ENSG00000185787,50,136.0,271.4,0.311,571.0,biological,true,primary_clean_tpm_biological_denominator
CIRBP,ENSG00000099622,50,178.7,344.4,0.312,758.4,biological,true,primary_clean_tpm_biological_denominator
SRP14,ENSG00000140319,50,114.8,265.5,0.323,437.4,biological,true,primary_clean_tpm_biological_denominator
GABARAP,ENSG00000170296,50,271.9,583.4,0.325,1145.5,biological,true,primary_clean_tpm_biological_denominator
PCBP2,ENSG00000197111,50,188.8,357.8,0.335,852.5,biological,true,primary_clean_tpm_biological_denominator
MYL12B,ENSG00000118680,50,100.7,298.3,0.338,543.7,biological,true,primary_clean_tpm_biological_denominator
EDF1,ENSG00000107223,50,101.8,351.5,0.348,694.9,biological,false,strict_candidate_high_max_min_range
CAPNS1,ENSG00000126247,50,132.0,319.8,0.352,740.3,biological,true,primary_clean_tpm_biological_denominator
RAN,ENSG00000132341,50,143.6,251.7,0.358,561.5,biological,true,primary_clean_tpm_biological_denominator
HSP90AB1,ENSG00000096384,50,209.8,527.0,0.360,1330.4,biological,true,primary_clean_tpm_biological_denominator
UBA52,ENSG00000221983,50,228.3,974.5,0.362,2149.8,biological,false,strict_candidate_ubiquitin_ribosomal_fusion_holdout
NACA,ENSG00000196531,50,353.9,983.7,0.368,2315.4,biological,false,strict_candidate_high_max_min_range
SNRPD2,ENSG00000125743,50,117.1,246.3,0.376,553.3,biological,true,primary_clean_tpm_biological_denominator
PPIA,ENSG00000196262,50,355.8,1095.3,0.378,2268.5,biological,false,strict_candidate_manual_context_sensitivity_holdout
PSAP,ENSG00000197746,50,277.5,769.7,0.380,1658.5,biological,true,primary_clean_tpm_biological_denominator
UBL5,ENSG00000198258,50,196.2,357.4,0.384,904.3,biological,true,primary_clean_tpm_biological_denominator
BTF3,ENSG00000145741,50,176.1,483.3,0.385,1092.0,biological,true,primary_clean_tpm_biological_denominator
SKP1,ENSG00000113558,50,144.2,429.6,0.385,1019.6,biological,false,strict_candidate_high_max_min_range
FAU,ENSG00000149806,50,221.0,751.5,0.391,1871.1,biological,false,strict_candidate_ubiquitin_ribosomal_fusion_holdout
MRFAP1,ENSG00000179010,50,107.1,234.0,0.411,490.2,biological,true,primary_clean_tpm_biological_denominator
UBB,ENSG00000170315,50,549.5,1257.0,0.417,2890.0,biological,true,primary_clean_tpm_biological_denominator
HSPA8,ENSG00000109971,50,217.5,581.8,0.425,1465.7,biological,false,strict_candidate_high_max_min_range
ATF4,ENSG00000128272,50,149.9,365.9,0.429,876.3,biological,true,primary_clean_tpm_biological_denominator
HNRNPA1,ENSG00000135486,50,164.2,476.7,0.431,1270.7,biological,false,strict_candidate_paralog_redundancy_high_range
EEF1A1,ENSG00000156508,50,1623.7,5847.1,0.433,11871.2,biological,true,primary_clean_tpm_biological_denominator
CFL1,ENSG00000172757,50,202.5,612.2,0.433,1304.8,biological,true,primary_clean_tpm_biological_denominator
HSP90AA1,ENSG00000080824,50,186.0,411.3,0.436,1093.3,biological,false,strict_candidate_hsp90_paralog_redundancy
PARK7,ENSG00000116288,50,123.0,272.5,0.438,744.9,biological,true,primary_clean_tpm_biological_denominator
ACTG1,ENSG00000184009,50,260.0,1020.7,0.439,2354.7,biological,false,strict_candidate_structural_high_range
CHCHD2,ENSG00000106153,50,117.3,281.3,0.442,763.8,biological,false,strict_candidate_max_min_above_primary_threshold
RPSA,ENSG00000168028,50,264.4,975.6,0.444,2540.4,biological,false,strict_candidate_ribosomal_adjacency_holdout
NPM1,ENSG00000181163,50,156.0,436.7,0.452,1250.1,biological,false,strict_candidate_high_max_min_range
PTMA,ENSG00000187514,50,230.5,870.7,0.453,2291.2,biological,false,strict_candidate_high_max_min_range
ENO1,ENSG00000074800,50,122.8,450.2,0.456,1032.9,biological,false,strict_candidate_metabolic_high_range
CD63,ENSG00000135404,50,130.6,612.0,0.476,1740.7,biological,false,strict_candidate_context_variable_membrane_marker
HMGB1,ENSG00000189403,50,131.3,276.4,0.480,838.2,biological,true,primary_clean_tpm_biological_denominator
FTH1,ENSG00000167996,50,748.2,3701.7,0.492,9264.6,biological,false,strict_candidate_iron_storage_high_range
COX7A2,ENSG00000112695,50,143.0,339.7,0.4996,789.9,biological,true,primary_clean_tpm_biological_denominator
