source_a,source_b,candidate_overlap,default_overlap
Gong 2021,Carter 2023,2,2
Gong 2021,Seager 2024 · panel,1,1
Gong 2021,Gong 2021,70,27
Gong 2021,Bradley 2020,7,1
Gong 2021,CTpedia,14,14
Gong 2021,CTexploreR,2,2
Gong 2021,daSilva2017_protein,2,1
Gong 2021,placental_antigen,16,8
Bradley 2020,Wang 2016,2,1
Bradley 2020,Bruggeman 2018,3,0
Bradley 2020,da Silva 2017 · CT,1,0
Bradley 2020,da Silva 2017 · testis-biased,1,0
Bradley 2020,Jamin 2021,2,0
Bradley 2020,Chang 2019 · TGCT,1,0
Bradley 2020,Carter 2023,0,0
Bradley 2020,Seager 2024 · panel,0,0
Bradley 2020,Gong 2021,7,1
Bradley 2020,Bradley 2020,10,1
Bradley 2020,CTpedia,1,1
Bradley 2020,CTexploreR,0,0
Bradley 2020,daSilva2017_protein,0,0
Bradley 2020,placental_antigen,2,0
CTpedia,Wang 2016,138,126
CTpedia,Bruggeman 2018,19,17
CTpedia,da Silva 2017 · CT,137,125
CTpedia,da Silva 2017 · testis-biased,187,173
CTpedia,Jamin 2021,41,38
CTpedia,Chang 2019 · TGCT,135,125
CTpedia,Carter 2023,42,41
CTpedia,Seager 2024 · panel,12,12
CTpedia,Gong 2021,14,14
CTpedia,Bradley 2020,1,1
CTpedia,CTpedia,209,186
CTpedia,CTexploreR,77,72
CTpedia,daSilva2017_protein,35,35
CTpedia,placental_antigen,0,0
CTexploreR,Wang 2016,107,93
CTexploreR,Bruggeman 2018,23,15
CTexploreR,da Silva 2017 · CT,108,89
CTexploreR,da Silva 2017 · testis-biased,138,119
CTexploreR,Jamin 2021,39,32
CTexploreR,Chang 2019 · TGCT,102,87
CTexploreR,Carter 2023,38,35
CTexploreR,Seager 2024 · panel,13,12
CTexploreR,Gong 2021,2,2
CTexploreR,Bradley 2020,0,0
CTexploreR,CTpedia,77,72
CTexploreR,CTexploreR,153,132
CTexploreR,daSilva2017_protein,48,33
CTexploreR,placental_antigen,0,0
daSilva2017_protein,Wang 2016,81,51
daSilva2017_protein,Bruggeman 2018,24,11
daSilva2017_protein,da Silva 2017 · CT,109,53
daSilva2017_protein,da Silva 2017 · testis-biased,134,70
daSilva2017_protein,Jamin 2021,26,21
daSilva2017_protein,Chang 2019 · TGCT,72,46
daSilva2017_protein,Carter 2023,19,17
daSilva2017_protein,Seager 2024 · panel,7,6
daSilva2017_protein,Gong 2021,2,1
daSilva2017_protein,Bradley 2020,0,0
daSilva2017_protein,CTpedia,35,35
daSilva2017_protein,CTexploreR,48,33
daSilva2017_protein,daSilva2017_protein,135,70
daSilva2017_protein,placental_antigen,0,0
placental_antigen,Wang 2016,2,2
placental_antigen,Bruggeman 2018,0,0
placental_antigen,da Silva 2017 · CT,2,0
placental_antigen,da Silva 2017 · testis-biased,4,1
placental_antigen,Jamin 2021,1,0
placental_antigen,Chang 2019 · TGCT,0,0
placental_antigen,Carter 2023,0,0
placental_antigen,Seager 2024 · panel,0,0
placental_antigen,Gong 2021,16,8
placental_antigen,Bradley 2020,2,0
placental_antigen,CTpedia,0,0
placental_antigen,CTexploreR,0,0
placental_antigen,daSilva2017_protein,0,0
placental_antigen,placental_antigen,19,9
