dataset,row_key,cancer_code,regimen,metric,value,reference,source_review_status,source_locator,findings
cancer-tmb,ACC,ACC,,TMB,2.7,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A88:C88; adrenal gland cortical carcinoma,
cancer-tmb,BLCA,BLCA,,TMB,7.1,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BRCA,BRCA,,TMB,1.2,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,CESC,CESC,,TMB,5.0,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BTC,BTC,,TMB,1.23,PMID:33754015,source_checked,Abstract Results; Figure 1B; Methods,
cancer-tmb,CHOL,CHOL,,TMB,2.5,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A103:C103; liver cholangiocarcinoma,
cancer-tmb,COAD,COAD,,TMB,3.1,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,DLBC,DLBC,,TMB,3.3,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,ESCA,ESCA,,TMB,4.0,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,GBM,GBM,,TMB,2.2,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,HNSC,HNSC,,TMB,3.9,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,RCC,RCC,,TMB,,,audited_gap,,
cancer-tmb,KICH,KICH,,TMB,0.7,PMID:28420421,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,KIRC,KIRC,,TMB,1.9,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,KIRP,KIRP,,TMB,2.7,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A83:C83; kidney renal papillary carcinoma,
cancer-tmb,LAML,LAML,,TMB,0.4,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,LGG,LGG,,TMB,1.0,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,LIHC,LIHC,,TMB,3.6,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A57:C57; liver hepatocellular carcinoma (hcc),
cancer-tmb,NSCLC,NSCLC,,TMB,8.0,PMID:33889505,source_checked,"Results, TMB comparison across cohorts",
cancer-tmb,LUAD,LUAD,,TMB,8.1,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,LUSC,LUSC,,TMB,9.9,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MESO,MESO,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A136:C136; pleura mesothelioma,
cancer-tmb,OV,OV,,TMB,1.7,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
