dataset,row_key,cancer_code,regimen,metric,value,reference,source_review_status,source_locator,findings
cancer-tmb,PAAD,PAAD,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A129:C129; pancreas ductal adenocarcinoma,
cancer-tmb,PCPG,PCPG,,TMB,0.5,PMID:28420421,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,PRAD,PRAD,,TMB,0.7,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,READ,READ,,TMB,3.1,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SKCM,SKCM,,TMB,12.9,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,STAD,STAD,,TMB,5,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A30:C30; stomach adenocarcinoma intestinal type,
cancer-tmb,TGCT,TGCT,,TMB,0.5,PMID:28420421,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,THCA,THCA,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A132:C132; thyroid papillary carcinoma,
cancer-tmb,THYM_EPITHELIAL,THYM_EPITHELIAL,,TMB,,PMID:35749302,audited_gap,,
cancer-tmb,THYM,THYM,,TMB,1.3,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A160:C160; thymus thymoma (nos),
cancer-tmb,UCEC,UCEC,,TMB,2.5,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,UCS,UCS,,TMB,3.6,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A48:C48; uterus carcinosarcoma,
cancer-tmb,UVM,UVM,,TMB,0.34,PMID:31930041,source_checked,"Table 1, UVM; Methods, TMB and indel burden",
cancer-tmb,SARC_LMS,SARC_LMS,,TMB,2.2,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_DDLPS,SARC_DDLPS,,TMB,1.5,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_UPS,SARC_UPS,,TMB,2.2,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_MYXFIB,SARC_MYXFIB,,TMB,2.2,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_SYN,SARC_SYN,,TMB,1.7,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_MPNST,SARC_MPNST,,TMB,2.5,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A109:C109; soft tissue malignant peripheral nerve sheath tumor (mpnst),
cancer-tmb,SARC_OS,SARC_OS,,TMB,1.2,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_EWS,SARC_EWS,,TMB,0.6,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_RMS_ERMS,SARC_RMS_ERMS,,TMB,0.8,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,SARC_RMS_ARMS,SARC_RMS_ARMS,,TMB,0.4,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,SARC_CHON,SARC_CHON,,TMB,1.7,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A146:C146; bone chondrosarcoma,
cancer-tmb,SARC_CHOR,SARC_CHOR,,TMB,0.53,PMID:38892063,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,NBL,NBL,,TMB,0.6,PMID:23334666,source_checked,Abstract; Results; Supplementary Table 1,
cancer-tmb,WILMS,WILMS,,TMB,0.2,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,RT,RT,,TMB,0.1,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,ATRT,ATRT,,TMB,0.2,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MBL,MBL,,TMB,0.3,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,RB,RB,,TMB_MEAN,0.085,PMID:33670346,source_checked,Results 2.2 Somatic Mutational Burden and Mutational Signatures; Figure 1,
cancer-tmb,HEPB,HEPB,,TMB,0.02,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MM,MM,,TMB,1.6,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,CLL,CLL,,TMB,0.6,PMID:23770567,needs_source_review,Figure 1; supplementary per-sample data needed for exact subgroup medians,sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MCL,MCL,,TMB,3.3,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A68:C68; lymph node lymphoma mantle cell,
cancer-tmb,FL,FL,,TMB,5.05,DOI:10.3390/cancers18050737,source_checked,"Results 3.2, TMB and clinical characteristics",
cancer-tmb,HL,HL,,TMB_UNSPECIFIED,7.66,PMID:31816062,source_checked,"Results, comparison with other cancers; Figure 7B; Methods, cHL cohort",summary_statistic_unspecified
cancer-tmb,BL,BL,,TMB,2.0,PMID:23143597,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,B_ALL,B_ALL,,TMB,0.3,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,T_ALL,T_ALL,,TMB,0.5,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,MDS,MDS,,TMB,0.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A168:C168; bone marrow myelodysplastic syndrome (mds),
cancer-tmb,MPN,MPN,,TMB,0.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A166:C166; bone marrow myeloproliferative neoplasm (mpn),
cancer-tmb,CML,CML,,TMB,,,audited_gap,,
cancer-tmb,CTCL,CTCL,,TMB,3.5,PMID:38513135,source_checked_proxy,"Results, somatic mutational landscape; Methods, patient samples and WES",population_proxy;tmb_statistic_or_derivation_requires_review
cancer-tmb,NET_PANCREAS,NET_PANCREAS,,TMB,1.35,PMID:34326338,source_checked,"Results, primary-localization comparison",sample_size_not_curated
cancer-tmb,NEN,NEN,,TMB,,PMID:34326338,audited_gap,"Results, mutational landscape",
cancer-tmb,NET,NET,,TMB,,PMID:34326338,audited_gap,"Results, mutational landscape",
cancer-tmb,NEC,NEC,,TMB,,PMID:34326338,audited_gap,"Results, mutational landscape",
cancer-tmb,NEC_LUNG,NEC_LUNG,,TMB,,PMID:26168399;PMID:29535388,audited_gap,,
cancer-tmb,SCLC,SCLC,,TMB,8.6,PMID:26168399,needs_source_review,Results: Recurrent somatic alterations in SCLC; Supplementary Tables 1-3; https://pmc.ncbi.nlm.nih.gov/articles/PMC4861069/,tmb_source_not_revalidated;tmb_statistic_or_derivation_requires_review
cancer-tmb,NEC_MERKEL,NEC_MERKEL,,TMB,5.3,PMID:31399473,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MTC,MTC,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A124:C124; thyroid medullary carcinoma,
cancer-tmb,ADCC,ADCC,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A128:C128; salivary gland adenoid cystic carcinoma,
cancer-tmb,NPC,NPC,,TMB,0.95,PMID:36135044,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,NUTM,NUTM,,TMB,1.0,PMID:40704901,source_checked,Abstract Results; molecular characterization of the registry cohort,
cancer-tmb,BRCA_Basal,BRCA_Basal,,TMB,1.8,PMID:23000897,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BRCA_HER2,BRCA_HER2,,TMB,1.6,PMID:23000897,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BRCA_LumB,BRCA_LumB,,TMB,1.2,PMID:23000897,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BRCA_LumA,BRCA_LumA,,TMB,0.9,PMID:23000897,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BRCA_Normal,BRCA_Normal,,TMB,1.28,PMID:29625048,source_checked,cBioPortal datahub revision 0cc9138746c08b304f8dac92c31983e0ef44af1d; brca_tcga_pan_can_atlas_2018; clinical sample TMB_NONSYNONYMOUS joined to patient SUBTYPE; cases_sequenced eligibility,
cancer-tmb,HNSC_HPVneg,HNSC_HPVneg,,TMB,4.6,PMID:25631445,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,HNSC_HPVpos,HNSC_HPVpos,,TMB,2.8,PMID:25631445,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC,SARC,,TMB,1.8,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_LPS_UNSPEC,SARC_LPS_UNSPEC,,TMB,1.5,DOI:10.1016/j.cell.2017.10.014,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_RMS_PRMS,SARC_RMS_PRMS,,TMB,1.2,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,SARC_RMS_SSRMS,SARC_RMS_SSRMS,,TMB,0.6,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,BCC,BCC,,TMB,47.3,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A2:C2; skin basal cell carcinoma,
cancer-tmb,cSCC,cSCC,,TMB,45.2,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A3:C3; skin squamous cell carcinoma (scc),
cancer-tmb,EPN,EPN,,TMB,0.5,PMID:29489754,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,DIPG,DIPG,,TMB,1.0,PMID:28966033,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,VSCC,VSCC,,TMB,5.2,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A29:C29; vulva squamous cell carcinoma (scc),
cancer-tmb,VAGC,VAGC,,TMB,,,audited_gap,,
cancer-tmb,PENSCC,PENSCC,,TMB,4.5,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A39:C39; penis squamous cell carcinoma (scc),
cancer-tmb,ANSC,ANSC,,TMB,5.4,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A24:C24; anus squamous cell carcinoma (scc),
cancer-tmb,GBC,GBC,,TMB,5.5,DOI:10.1038/s41698-022-00327-y,source_checked,"Results: Molecular analysis, Figure 3A/C; Methods: Next generation sequencing; https://pmc.ncbi.nlm.nih.gov/articles/PMC9637208/",
cancer-tmb,CRANIO,CRANIO,,TMB,0.9,PMID:24413733,needs_source_review,Main text preceding Figure 1; Figure 1 legend; Supplementary Tables 1-2; https://pmc.ncbi.nlm.nih.gov/articles/PMC3982316/,tmb_source_not_revalidated
cancer-tmb,PITNET,PITNET,,TMB,,,audited_gap,,
cancer-tmb,SARC_DSRCT,SARC_DSRCT,,TMB,0.72,PMID:35379887,source_checked,"Results, DSRCT has low mutation burden; Figure 1A",
cancer-tmb,SARC_GIST,SARC_GIST,,TMB,0.67,PMID:39489749,source_checked,"Results, Aggressive GISTs harbor more genomic aberrations; Figure 1A",
cancer-tmb,NEC_LUNG_LARGECELL,NEC_LUNG_LARGECELL,,TMB,9.9,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A9:C9; lung large cell neuroendocrine carcinoma,
cancer-tmb,SARC_SMARCA4,SARC_SMARCA4,,TMB,10.6,PMID:39802817,source_checked,"Table 1; Results, Tumor Pathologic Characteristics",
cancer-tmb,NET_MIDGUT,NET_MIDGUT,,TMB,1.05,PMID:34326338,source_checked,"Results, primary-localization comparison",sample_size_not_curated
cancer-tmb,NET_RECTAL,NET_RECTAL,,TMB,1.15,PMID:36645718,source_checked,"Abstract; Methods, Whole-exome sequencing",
cancer-tmb,NET_LUNG,NET_LUNG,,TMB_MEAN,0.4,PMID:24670920,source_checked,Results first paragraph; Figure 1c; https://pmc.ncbi.nlm.nih.gov/articles/PMC4132974/,
cancer-tmb,SARC_CIC,SARC_CIC,,TMB,1.2,PMID:29901569,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,NBL_MYCNamp,NBL_MYCNamp,,TMB,0.43,PMID:23334666,source_checked,"Supplementary Table 1, Master_Table; MYCNamp column J and Nonsilent per Mb column BB; rows 3-242",
cancer-tmb,NBL_MYCNnonamp,NBL_MYCNnonamp,,TMB,0.66,PMID:33172452,source_checked,"Results, TMB and mutational signature; Figure 3c; Methods, Sequence analysis",
cancer-tmb,MBL_WNT,MBL_WNT,,TMB,0.6,PMID:28726821,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MBL_SHH,MBL_SHH,,TMB,0.8,PMID:28726821,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MBL_G3,MBL_G3,,TMB,0.5,PMID:28726821,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,MBL_G4,MBL_G4,,TMB,0.5,PMID:28726821,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,LUAD_EGFR,LUAD_EGFR,,TMB,3.8,PMID:31086949,source_checked_proxy,"Results, TMB across EGFR mutation subtypes; Table 2; Methods, study cohorts",population_proxy
cancer-tmb,HCL,HCL,,TMB_APPROXIMATE,0.2,PMID:26871591,approximation_reviewed,"Table 2, Unflagged column; Table 3; Methods, Whole Exome Sequencing and Bioinformatics",approximate_tmb_estimate
cancer-tmb,ACINIC,ACINIC,,TMB,1.8,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A122:C122; salivary gland acinic cell tumor,
cancer-tmb,ALCL,ALCL,,TMB,,,audited_gap,,
cancer-tmb,URETH,URETH,,TMB,,,audited_gap,,
cancer-tmb,UCEC_POLE,UCEC_POLE,,TMB,150.8,PMID:39865420,source_checked,"Results, group A; Figure 1B; Methods, Molecular subtyping",
cancer-tmb,UCEC_MSI,UCEC_MSI,,TMB,21.5,PMID:31829442,source_checked,"Table 2; Results, Association between POLE mutations and MSI; Methods, Analysis of mutation frequency",
cancer-tmb,UCEC_CNL,UCEC_CNL,,TMB_UNSPECIFIED,2.9,PMID:23636398,source_checked,"Results, Somatic mutations; Figure 2a/b, copy-number-low n=90",summary_statistic_unspecified
cancer-tmb,UCEC_CNH,UCEC_CNH,,TMB_UNSPECIFIED,2.3,PMID:23636398,source_checked,"Results, Somatic mutations; Figure 2a/b, copy-number-high n=60",summary_statistic_unspecified
cancer-tmb,CRC_MSI,CRC_MSI,,TMB,46,PMID:28420421,needs_source_review,"Figure 2 / Additional file 3, Table S1; exact row not revalidated",sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,CRC,CRC,,TMB,4.5,PMID:30151257,needs_source_review,,assay_not_structured;tmb_source_not_revalidated
cancer-tmb,MENINGIOMA,MENINGIOMA,,TMB,0.5,DOI:10.1038/s41598-018-31659-0,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,CHOROID_PLEXUS,CHOROID_PLEXUS,,TMB,0.5,PMID:33249490,needs_source_review,,assay_not_structured;sample_size_not_curated;tmb_source_not_revalidated
cancer-tmb,ATC,ATC,,TMB,3.8,DOI:10.1016/j.celrep.2024.113826,needs_source_review,,assay_not_structured;tmb_source_not_revalidated
cancer-tmb,THYMCA,THYMCA,,TMB,2.5,PMID:28420421,source_checked,Additional file 3 Table S1; Sheet1!A100:C100; thymus carcinoma (nos),
cancer-tmb,STAD_MSI,STAD_MSI,,TMB,,PMID:28420421;PMID:25079317,audited_gap,,
cancer-tmb,BRCA_TNBC,BRCA_TNBC,,TMB,2.12,PMID:29625048;PMID:23000897,source_checked,cBioPortal datahub 0cc9138746c08b304f8dac92c31983e0ef44af1d; brca_tcga receptor metadata; brca_tcga_pan_can_atlas_2018 TMB_NONSYNONYMOUS and cases_sequenced; exact primary RNA sample intersection,
cancer-ici-response,ACC/PD-1+CTLA-4,ACC,PD-1+CTLA-4,ORR,14.0,PMID:39067873,prior_locator_verified,"Abstract, Results",
cancer-ici-response,SGC/PD-1,SGC,PD-1,ORR,4.6,PMID:35777186,prior_locator_verified,"Abstract, Results",
cancer-ici-response,ADCC/PD-1+CTLA-4,ADCC,PD-1+CTLA-4,ORR,6.0,DOI:10.1038/s41591-023-02518-x,prior_locator_verified,Results > Study treatment efficacy and toxicity,
cancer-ici-response,ANSC/PD-1,ANSC,PD-1,ORR,24.0,PMID:28223062,prior_locator_source_section,"Abstract, Findings",numeric_source_location_not_verified
cancer-ici-response,ATC/PD-1+CTLA-4,ATC,PD-1+CTLA-4,ORR,30.0,DOI:10.1200/JCO.2020.38.15_suppl.6513,prior_locator_citation_only,,numeric_source_location_not_verified
cancer-ici-response,BCC/PD-1,BCC,PD-1,ORR,31.0,PMID:34000246,prior_locator_source_section,"Abstract, Findings",numeric_source_location_not_verified
cancer-ici-response,BLCA/PD-1,BLCA,PD-1,ORR,28.6,PMID:32552471,prior_locator_verified,"Abstract, Results",
cancer-ici-response,BLCA/PD-L1,BLCA,PD-L1,ORR,23.0,PMID:27939400,prior_locator_verified,"Abstract, Findings",
cancer-ici-response,BRCA_TNBC/PD-1,BRCA_TNBC,PD-1,ORR,5.3,PMID:30475950,prior_locator_verified,"Abstract, Results",
cancer-ici-response,BRCA_TNBC/PD-L1,BRCA_TNBC,PD-L1,ORR,10.0,PMID:30242306,prior_locator_source_section,"Abstract, Findings",numeric_source_location_not_verified
cancer-ici-response,CESC/PD-1,CESC,PD-1,ORR,14.6,PMID:30943124,prior_locator_verified,"Abstract, Results",
cancer-ici-response,CESC/PD-L1,CESC,PD-L1,ORR,15.6,PMID:38858106,prior_locator_verified,"Abstract, Results",
cancer-ici-response,BTC/PD-1,BTC,PD-1,ORR,5.8,PMID:32359091,prior_locator_verified,Abstract,
cancer-ici-response,BTC/PD-L1,BTC,PD-L1,ORR,4.8,PMID:35611499,prior_locator_verified,RESULTS > Efficacy > Durvalumab monotherapy,
cancer-ici-response,CLL/PD-1,CLL,PD-1,ORR,0.0,DOI:10.1182/blood-2017-02-765685,prior_locator_source_section,Abstract,numeric_source_location_not_verified
cancer-ici-response,COAD,COAD,,ORR,,PMID:33264544,audited_gap,,
cancer-ici-response,CRC_MSI/PD-1,CRC_MSI,PD-1,ORR,43.8,PMID:33264544,prior_locator_verified,Table 2,
cancer-ici-response,CRC_MSI/PD-1+CTLA-4,CRC_MSI,PD-1+CTLA-4,ORR,55.0,PMID:29355075,prior_locator_verified,Abstract,
cancer-ici-response,COAD_MSS/PD-1,COAD_MSS,PD-1,ORR,0.0,PMID:26028255,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,CTCL/PD-1,CTCL,PD-1,ORR,38.0,PMID:31532724,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,DIPG,DIPG,,ORR,,PMID:36808285,audited_gap,,
cancer-ici-response,DLBC/PD-1,DLBC,PD-1,ORR,10.0,PMID:30620669,prior_locator_verified,"Abstract, Results",
cancer-ici-response,EPN/PD-1,EPN,PD-1,ORR,8.3,PMID:36808285,prior_locator_verified,"Table 1; Results, Biomarker Analyses",
cancer-ici-response,ESCA/PD-1,ESCA,PD-1,ORR,19.3,PMID:31582355,prior_locator_source_section,"Abstract, Findings",numeric_source_location_not_verified
cancer-ici-response,ESCA/PD-1+CTLA-4,ESCA,PD-1+CTLA-4,ORR,28,PMID:35108470,prior_locator_verified,CheckMate 648 all-randomized ORR; FDA 2024 sponsor briefing Figure 2.3.2.2-6,
cancer-ici-response,FL/PD-1,FL,PD-1,ORR,4.0,DOI:10.1182/blood.2019004753,prior_locator_verified,Abstract,
cancer-ici-response,GBM/PD-1,GBM,PD-1,ORR,7.8,PMID:32437507,prior_locator_verified,"Results, response-evaluable population",
cancer-ici-response,HL/PD-1,HL,PD-1,ORR,71.2,PMID:37530622,prior_locator_verified,"Abstract, Results",
cancer-ici-response,HNSC/PD-1,HNSC,PD-1,ORR,19.0,PMID:31679945,prior_locator_source_section,"Abstract, Findings",numeric_source_location_not_verified;response_denominator_missing
cancer-ici-response,HNSC/PD-L1,HNSC,PD-L1,ORR,16.2,DOI:10.1016/j.ejca.2018.11.015,prior_locator_citation_only,,numeric_source_location_not_verified
cancer-ici-response,HNSC_HPVneg/PD-1,HNSC_HPVneg,PD-1,ORR,16,PMID:29955135,prior_locator_verified,Table 3,
cancer-ici-response,HNSC_HPVpos/PD-1,HNSC_HPVpos,PD-1,ORR,24.0,PMID:29955135,prior_locator_verified,Table 3,
cancer-ici-response,KICH/PD-1,KICH,PD-1,ORR,9.5,PMID:33529058,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,RCC_NCC/PD-1,RCC_NCC,PD-1,ORR,26.7,PMID:33529058,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,RCC_NCC_UNCLASSIFIED/PD-1,RCC_NCC_UNCLASSIFIED,PD-1,ORR,30.8,PMID:33529058,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,KIRC/PD-1,KIRC,PD-1,ORR,25.0,PMID:26406148,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,KIRC/PD-1+CTLA-4,KIRC,PD-1+CTLA-4,ORR,41.6,PMID:29562145,prior_locator_source_section,"Abstract, RESULTS",numeric_source_location_not_verified
cancer-ici-response,KIRC/PD-L1,KIRC,PD-L1,ORR,25.0,PMID:29867230,prior_locator_verified,Results > Efficacy.,
cancer-ici-response,KIRP/PD-1,KIRP,PD-1,ORR,28.8,PMID:33529058,prior_locator_verified,"Abstract, RESULTS",
cancer-ici-response,LIHC/PD-1,LIHC,PD-1,ORR,20.0,PMID:28434648,prior_locator_verified,Results,
cancer-ici-response,LIHC/PD-1+CTLA-4,LIHC,PD-1+CTLA-4,ORR,32.0,PMID:33001135,prior_locator_verified,"Abstract, Results",
